               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.081746,            0.067585,            0.077101,             0.72894,            0.024477,            0.013732,           0.0036468,            0.085889,            0.038139,            0.074356,           0.0093367,           0.0093367,           0.0093367
                  69,            0.081049,            0.072261,            0.076974,             0.66874,            0.056639,            0.021791,           0.0066942,            0.079677,            0.042755,            0.073715,           0.0093268,           0.0093268,           0.0093268
                  70,            0.080358,            0.067764,            0.073085,              0.7474,            0.030456,            0.021557,           0.0063358,            0.081604,            0.040794,            0.073486,           0.0093169,           0.0093169,           0.0093169
                  71,            0.079268,            0.072929,            0.072632,             0.73062,            0.032821,            0.028101,           0.0081516,            0.079705,            0.042358,            0.073624,            0.009307,            0.009307,            0.009307
                  72,            0.079778,            0.069897,            0.072761,             0.74997,            0.029982,            0.024421,           0.0071698,            0.080787,            0.040146,            0.073318,           0.0092971,           0.0092971,           0.0092971
                  73,            0.080526,            0.066645,            0.075626,             0.84438,            0.022482,            0.026641,           0.0074488,            0.080516,            0.041176,            0.072815,           0.0092872,           0.0092872,           0.0092872
                  74,            0.077658,              0.0693,            0.071862,             0.75337,             0.03309,            0.026425,           0.0078499,             0.08223,            0.038643,            0.072632,           0.0092773,           0.0092773,           0.0092773
                  75,            0.079938,            0.074097,            0.075547,             0.86673,            0.025013,            0.033762,            0.011101,            0.078982,            0.042656,            0.072052,           0.0092674,           0.0092674,           0.0092674
                  76,            0.081179,            0.069884,            0.073011,             0.83693,            0.026288,            0.028485,           0.0074301,            0.082433,            0.040886,            0.072433,           0.0092575,           0.0092575,           0.0092575
                  77,            0.081715,            0.075229,            0.069481,             0.81837,            0.032365,            0.035165,            0.011664,            0.079223,            0.043465,            0.071304,           0.0092476,           0.0092476,           0.0092476
                  78,            0.079463,            0.070437,            0.072278,             0.80596,            0.029341,            0.031906,            0.009794,            0.078619,            0.039185,            0.070801,           0.0092377,           0.0092377,           0.0092377
                  79,            0.081273,            0.075411,            0.071712,             0.81972,              0.0264,            0.041741,            0.014851,            0.083202,            0.042671,            0.070618,           0.0092278,           0.0092278,           0.0092278
                  80,             0.07823,            0.066863,            0.069242,             0.79574,            0.032469,            0.041793,            0.010053,            0.077385,            0.038658,            0.070404,           0.0092179,           0.0092179,           0.0092179
                  81,              0.0776,            0.071615,            0.073584,             0.87053,            0.022269,            0.041672,            0.014116,            0.078818,            0.038643,             0.07019,            0.009208,            0.009208,            0.009208
                  82,            0.078037,            0.067424,            0.074025,             0.80858,            0.033032,             0.04062,            0.011371,             0.07864,             0.03743,            0.069809,           0.0091981,           0.0091981,           0.0091981
                  83,            0.078731,             0.07244,            0.070907,             0.86164,            0.025832,            0.039416,            0.013359,            0.079992,            0.037888,            0.070038,           0.0091882,           0.0091882,           0.0091882
                  84,              0.0784,            0.072603,            0.071094,              0.7681,            0.045832,            0.038661,            0.014454,            0.076419,            0.036995,            0.069901,           0.0091783,           0.0091783,           0.0091783
                  85,            0.078375,            0.068158,            0.072302,             0.82703,            0.027021,            0.036424,             0.01038,            0.078051,            0.038254,            0.069489,           0.0091684,           0.0091684,           0.0091684
                  86,            0.074928,            0.061683,            0.075752,             0.86307,            0.026225,            0.042433,            0.013304,             0.07678,            0.036201,            0.068771,           0.0091585,           0.0091585,           0.0091585
                  87,            0.077013,            0.072507,            0.070062,              0.6748,            0.061894,            0.038059,            0.014189,            0.077749,            0.037071,            0.068741,           0.0091486,           0.0091486,           0.0091486
                  88,            0.076242,            0.063114,            0.072828,             0.87231,            0.036058,            0.042739,            0.014682,            0.075353,            0.036751,             0.06839,           0.0091387,           0.0091387,           0.0091387
                  89,              0.0784,            0.069806,            0.068808,             0.67536,            0.067004,            0.047087,            0.014144,            0.076727,             0.03756,             0.06778,           0.0091288,           0.0091288,           0.0091288
                  90,            0.076414,            0.074215,            0.072836,             0.85766,            0.033876,            0.051286,            0.019277,            0.074453,            0.036621,            0.067642,           0.0091189,           0.0091189,           0.0091189
